boxes_box1_gps,boxes_crop,boxes_planting_date,boxes_expected_harvest_date,country,boxes_farmer_district,wet_completed_time,wet_kgs_crop_box1,wet_kgs_crop_box2,dry_box1_dry_weight,dry_box2_dry_weight,Latitude,Longitude,Altitude,Accuracy
-0.4720044 37.3972484 1581.0 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,9.4,5.75,5.855,3.015,-0.4720044,37.3972484,1581.0,3.9
-0.4356483 37.5516678 1471.8 5.0,maize,2021-10-15,2022-02-20,Kenya,Kirinyaga,2022-02-28,4.735,5.105,2.17,3.315,-0.4356483,37.5516678,1471.8,5.0
-0.4722343 37.3972368 1579.8 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,4.93,6.28,2.435,3.575,-0.4722343,37.3972368,1579.8,3.9
-0.4790809 37.4293558 1559.0 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-03,6.26,7.42,4.675,5.105,-0.4790809,37.4293558,1559.0,3.9
-0.5025418 37.5974835 1251.39 3.44,maize,2021-10-23,2022-02-21,Kenya,Kirinyaga,2022-02-28,4.125,3.655,3.055,2.695,-0.5025418,37.5974835,1251.39,3.44
-0.5042465 37.4022112 1495.8 9.11,maize,2021-10-28,2022-03-28,Kenya,Kirinyaga,2022-03-04,51.3,62.72,12.23,15.04,-0.5042465,37.4022112,1495.8,9.11
-0.4728214 37.414728 1582.8 6.29,maize,2021-10-07,2022-03-07,Kenya,Kirinyaga,2022-03-04,29.76,24.49,14.58,10.4,-0.4728214,37.414728,1582.8,6.29
-0.550745 37.4131617 1385.6 3.9,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-02-28,17.42,15.52,13.65,10.02,-0.550745,37.4131617,1385.6,3.9
-0.4818653 37.3814089 1630.7 4.84,maize,2021-10-08,2022-03-08,Kenya,Kirinyaga,2022-03-04,31.76,26.47,16.28,10.41,-0.4818653,37.3814089,1630.7,4.84
0.3141426 38.0535647 1015.8 8.65,maize,2021-11-11,2022-03-15,Kenya,Meru,2022-03-05,12.64,11.44,4.385,3.855,0.3141426,38.0535647,1015.8,8.65
0.223977 37.5968266 1476.96 6.43,maize,2021-10-28,2022-02-28,Kenya,Meru,2022-02-28,8.5,10.5,4.12,5.7,0.223977,37.5968266,1476.96,6.43
0.2172494 37.7233435 1356.9 4.8,maize,2021-10-28,2022-02-17,Kenya,Meru,2022-03-11,20.0,18.96,16.845,13.633,0.2172494,37.7233435,1356.9,4.8
0.1536317 37.7948783 1490.4 4.09,maize,2021-10-13,2022-03-20,Kenya,Meru,2022-03-02,13.07,10.25,11.08,8.625,0.1536317,37.7948783,1490.4,4.09
0.0884789 37.8120652 1196.2 4.3,maize,2021-10-24,2022-03-12,Kenya,Meru,2022-03-11,8.445,7.61,4.975,3.995,0.0884789,37.8120652,1196.2,4.3
0.3143454 38.0535774 1015.5 9.8,maize,2021-10-11,2022-03-11,Kenya,Meru,2022-03-05,9.765,10.93,4.855,5.315,0.3143454,38.0535774,1015.5,9.8
0.0774264 37.6734472 1419.1 6.85,maize,2021-10-15,2022-03-10,Kenya,Meru,2022-03-21,15.11,17.26,8.525,11.87,0.0774264,37.6734472,1419.1,6.85
0.136545 37.7228801 1483.0 4.5,maize,2021-10-15,2022-02-18,Kenya,Meru,2022-03-07,17.85,15.6,11.08,13.43,0.136545,37.7228801,1483.0,4.5
0.2195973 37.7884828 1460.3 4.94,maize,2020-10-10,2022-02-28,Kenya,Meru,2022-03-29,2.605,1.61,1.035,0.555,0.2195973,37.7884828,1460.3,4.94
0.3495791 38.0568152 1068.0 4.96,maize,2021-10-10,2022-03-10,Kenya,Meru,2022-03-05,10.41,8.395,4.265,4.305,0.3495791,38.0568152,1068.0,4.96
