plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
238,37.8157906,0.0841957,1207.9,maize,10/23/2021,Short Rains,Kenya,Meru
239,37.76304667,-0.01667,1147,maize,10/17/2021,Short Rains,Kenya,Meru
240,37.6076529,0.1783375,1570.21,maize,9/29/2021,Off Season,Kenya,Meru
241,37.9891171,0.3049109,1421.4,maize,11/10/2021,Short Rains,Kenya,Meru
242,37.7982743,0.0595534,1155.7,maize,10/12/2021,Short Rains,Kenya,Meru
243,37.6790372,-0.0334984,1439.4,maize,11/14/2021,Short Rains,Kenya,Meru
244,37.762415,-0.01489,691.8,maize,10/17/2021,Short Rains,Kenya,Meru
245,37.788275,-0.002456667,1087.4,maize,10/5/2021,Short Rains,Kenya,Meru
246,37.78795333,0.000495,1090.7,maize,10/15/2021,Short Rains,Kenya,Meru
247,37.8625345,-0.1050929,758.74,maize,10/15/2021,Short Rains,Kenya,Meru
248,37.8627244,-0.1050482,808.1,maize,11/24/2021,Short Rains,Kenya,Meru
249,37.8626186,-0.1052573,749.69,maize,10/20/2021,Short Rains,Kenya,Meru
250,37.7143561,-0.033795,1208.96,maize,11/16/2021,Short Rains,Kenya,Meru
251,37.7808964,0.0766204,1224.09,maize,10/14/2021,Short Rains,Kenya,Meru
252,37.8251651,0.084254,1188,maize,10/21/2021,Short Rains,Kenya,Meru
253,37.7840307,0.1714666,1483.6,maize,9/20/2021,Off Season,Kenya,Meru
254,37.8625411,-0.1053247,762.89,maize,10/24/2021,Short Rains,Kenya,Meru
255,37.8627528,-0.1050577,755.61,maize,10/21/2021,Short Rains,Kenya,Meru
256,38.0476076,0.298603,1014.5,maize,10/10/2021,Short Rains,Kenya,Meru
257,37.862824,-0.1051072,784.3,maize,11/26/2021,Short Rains,Kenya,Meru
258,37.7565611,-0.083854,1173.7,maize,9/17/2021,Off Season,Kenya,Meru
259,37.7828923,0.080639,1208.09,maize,10/26/2021,Short Rains,Kenya,Meru
260,37.6490612,0.1861061,1432.16,maize,10/4/2021,Short Rains,Kenya,Meru
261,37.7600313,0.1910763,1024.4,maize,10/15/2021,Short Rains,Kenya,Meru
262,37.7844172,0.1725752,1520.1,maize,10/8/2021,Short Rains,Kenya,Meru
263,37.7562139,-0.0838907,1192,maize,10/14/2021,Short Rains,Kenya,Meru
264,37.8174602,0.0870598,1213.59,maize,10/17/2021,Short Rains,Kenya,Meru
265,37.753972,0.0302557,1145.09,maize,11/20/2021,Short Rains,Kenya,Meru
266,37.8572926,-0.1109289,768.21,maize,10/27/2021,Short Rains,Kenya,Meru
267,37.6344614,0.1420029,1565.56,maize,10/10/2021,Short Rains,Kenya,Meru
268,37.8626151,-0.1050567,756.51,maize,10/14/2021,Short Rains,Kenya,Meru
269,37.6184692,0.1717187,1558.66,maize,11/15/2021,Short Rains,Kenya,Meru
270,37.76927167,-0.00738,1129,maize,10/16/2021,Short Rains,Kenya,Meru
